bg,0,10000,15000,20000,25000,30000,35000,40000,45000,50000,60000,75000,100000,125000,150000,200000
9705021,37,42,194,57,0,7,19,40,20,73,98,228,83,35,34,34
9705022,186,39,0,17,0,0,184,0,0,0,32,227,171,19,124,0
9705023,59,0,0,28,115,0,0,156,5,0,26,156,242,153,10,51
9706001,37,156,141,20,19,20,6,35,56,61,78,85,69,65,135,17
9706002,106,68,49,49,59,49,8,38,45,40,117,81,85,34,45,127
9706003,209,66,59,29,22,92,7,183,62,11,212,15,33,0,0,0
9706004,140,113,151,19,94,15,189,30,34,57,102,0,0,30,26,0
9707011,9,53,109,33,53,11,0,20,40,93,91,120,151,151,49,16
9707012,0,53,7,11,297,131,18,124,14,7,145,124,49,0,11,11
9707021,0,0,0,43,0,0,0,0,86,129,384,220,52,0,86,0
9707022,0,226,50,75,31,6,19,39,72,6,43,75,195,77,41,44
9707023,140,124,81,119,29,5,10,12,173,31,31,145,24,0,2,76
9707024,206,0,59,0,0,23,0,0,11,234,51,152,99,122,0,44
9708011,44,90,125,56,125,39,49,12,39,100,95,137,32,7,49,0
9708012,151,0,35,48,71,55,39,0,32,26,145,135,61,161,23,19
9708021,78,34,51,146,40,81,56,82,19,30,83,55,78,86,19,63
9708022,114,0,86,90,122,125,165,0,0,12,0,63,51,0,31,141
9708023,18,59,0,249,0,18,54,0,0,306,27,208,0,34,27,0
