geoid,name,B03002001,"B03002001, Error",Non-hispanic,"B03002002, Error",White Alone NH,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",White along H,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
01000US,United States,332387550,,269255940,1579,193338270,30069,39981608,43649,1751338,8345,19106872,24071,565623,5045,1646202,22146,12866039,60312,2636593,23096,10229446,64353,63131588,1495,17537180,81371,1089281,16409,1173658,19407,245786,6933,63669,3047,20294334,74183,22727682,69639,20305394,82501,2422288,30595
04000US21,Kentucky,4510725,,4298562,539,3712826,2219,350442,2884,3527,395,67774,1447,3337,533,11883,1262,148773,3315,23560,1703,125213,2846,212163,541,61755,2723,4795,949,4083,746,708,223,400,207,55315,3031,85107,3311,75213,3117,9894,1104
05000US21159,"Martin County, KY",11181,,10968,38,9682,213,817,58,53,40,8,13,13,22,0,20,395,197,267,176,128,95,213,38,154,27,17,22,0,20,0,20,0,20,22,31,20,28,20,28,0,20
15000US211599501001,"BG 1, Tract 9501, Martin, KY",1392,476,1392,476,1264,454,17,24,0,13,0,13,0,13,0,13,111,97,37,52,74,85,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
15000US211599501002,"BG 2, Tract 9501, Martin, KY",561,277,561,277,538,269,2,5,0,13,0,13,0,13,0,13,21,31,19,31,2,3,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
15000US211599501003,"BG 3, Tract 9501, Martin, KY",1660,357,1660,357,1529,309,0,13,0,13,0,13,0,13,0,13,131,158,131,158,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
15000US211599502011,"BG 1, Tract 9502.01, Martin, KY",2341,252,2128,245,1269,249,798,53,53,40,8,13,0,13,0,13,0,13,0,13,0,13,213,38,154,27,17,22,0,13,0,13,0,13,22,31,20,28,20,28,0,13
15000US211599502012,"BG 2, Tract 9502.01, Martin, KY",839,258,839,258,839,258,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
15000US211599502021,"BG 1, Tract 9502.02, Martin, KY",1195,511,1195,511,1141,491,0,13,0,13,0,13,0,13,0,13,54,54,43,50,11,22,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
15000US211599502022,"BG 2, Tract 9502.02, Martin, KY",1458,480,1458,480,1458,480,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
15000US211599502023,"BG 3, Tract 9502.02, Martin, KY",393,288,393,288,393,288,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
15000US211599502024,"BG 4, Tract 9502.02, Martin, KY",522,231,522,231,517,232,0,13,0,13,0,13,0,13,0,13,5,10,5,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
15000US211599503001,"BG 1, Tract 9503, Martin, KY",820,211,820,211,734,210,0,13,0,13,0,13,13,22,0,13,73,63,32,39,41,63,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,perc_nh,perc_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.908045977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.959001783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.921084337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.909013242,0.607859889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.954811715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.990421456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.895121951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
